COMPONENT,Site Name,Joint Base,State Terr,Oper Stat,PERIMETER,AREA
Army Guard,NG Kalaeloa,N/A,Hawaii,Active,3.28122554,0.27013821
Navy Active,Aiea,Joint Base Pearl Harbor - Hickam,Hawaii,Active,4.24991052,0.18263595
Navy Active,Ewa,Joint Base Pearl Harbor - Hickam,Hawaii,Active,15.95191438,4.88214868
Navy Active,Sewage Evaporation Pond,N/A,California,Active,3.59413662,0.67341027
AF Active,Moody AFB,N/A,Georgia,Active,23.41130784,16.82885422
Army Active,Tac X Stagefield AL,N/A,Alabama,Active,1.68250287,0.07945462
Army Active,Fort Lewis,Joint Base Lewis - McChord,Washington,Active,119.6952361,108.7280224
Army Active,Hunter Army Airfield,N/A,Georgia,Active,13.99191536,8.46658284
Army Active,Green River Test Complex UT,N/A,Utah,Inactive,28.98163164,6.27801514
Navy Active,Apra Heights,Joint Region Marianas,Guam,Active,1.95692886,0.10881597
Navy Active,Andy South,Joint Region Marianas,Guam,Active,10.4929058,3.00182106
Navy Active,Marysville WA,N/A,Washington,Active,1.12290828,0.08140462
AF Active,Laughlin AFB Aux 1,N/A,Texas,Active,4.00040491,0.62588742
AF Active,Joint Base Charleston Naval Weapons Station,Joint Base Charleston,South Carolina,Active,77.84501672,26.43353981
AF Active,Luke Waste Annex,N/A,Arizona,Active,0.93154291,0.05695777
AF Guard,Great Falls IAP,N/A,Montana,Active,2.26656673,0.20885517
AF Guard,Hector IAP,N/A,North Dakota,Active,3.62269995,0.39879297
AF Guard,Stewart IAP,N/A,New York,Active,2.74601337,0.40548721
AF Guard,Burlington IAP,N/A,Vermont,Active,4.0860007,0.38757946
AF Active,Canyon Lake Recreation Annex,Joint Base San Antonio,Texas,Active,3.21804597,0.59896811
Army Guard,NG Camp Dodge Johnston TS,N/A,Iowa,Active,213.5507425,51.6553432
Army Guard,NG Fort Indiantown Gap,N/A,Pennsylvania,Active,41.43605759,26.99192652
Army Guard,NG Fort Wolters,N/A,Texas,Active,20.80763387,6.38768009
Army Guard,NG Beauregard Training Range,N/A,Louisiana,Active,23.45963311,19.71133424
Army Guard,NG ITC Camp San Luis Obisbo,N/A,California,Active,23.21851592,8.83557913
Army Guard,NG Ft Allen Rq 177,N/A,Puerto Rico,Active,8.72287317,1.1683838
Army Guard,NG TS Ethan Allen Range,N/A,Vermont,Active,18.73483696,17.30767006
Army Guard,NG Gulfport AVCRAD,N/A,Mississippi,Active,1.6492658,0.1044845
Army Guard,NG Camp Swift,N/A,Texas,Active,20.24228567,18.31649555
Navy Active,JBAB Anacostia Bolling,Joint Base Anacostia - Bolling,District of Columbia,Active,8.67190951,1.46695792
Navy Active,Honolulu,Joint Base Pearl Harbor - Hickam,Hawaii,Active,9.71707007,1.51992913
Navy Active,NAS JRB New Orleans LA,N/A,Louisiana,Active,12.46143426,5.26857311
Navy Active,NOLF Spencer,N/A,Florida,Active,3.89280542,0.99083217
Navy Active,NOTU Cape Canaveral,N/A,Florida,Active,10.39312384,3.68880921
Navy Active,NAVWPNSYSTRAFAC Boardman,N/A,Oregon,Active,39.25145027,73.91080678
Navy Active,NAVSTA Everett WA,N/A,Washington,Active,3.80854233,0.33639769
Navy Active,NAS Whidbey Island WA,N/A,Washington,Active,17.15318918,6.51215007
Army Active,Anniston Army Depot,N/A,Alabama,Active,23.96588335,24.34134505
Army Active,Fort Carson,N/A,Colorado,Active,70.91682378,215.5272868
Army Active,Radford AAP,N/A,Virginia,Active,20.31060637,6.29488563
MC Active,Choc Mt Air Gnry Rng,N/A,California,Active,173.0082045,716.1630469
MC Active,Pearl City Annex,N/A,Hawaii,Active,0.90949865,0.04127455
Navy Active,Yorktown Fuel Depot,N/A,Virginia,Active,1.9129514,0.22694957
Navy Active,Waterfront,N/A,New Jersey,Active,2.72277215,0.15382455
AF Active,Seymour Johnson AFB,N/A,North Carolina,Active,12.63219333,5.04956187
AF Reserve,Westover ARB,N/A,Massachusetts,Active,11.89019596,3.73008144
AF Active,Eareckson AS,N/A,Alaska,Active,16.96804743,5.45947725
AF Guard,Cheyenne Regional Airport,N/A,Wyoming,Active,1.61995915,0.10400657
AF Guard,Fort Smith Map,N/A,Arkansas,Active,1.74866712,0.18078243
AF Guard,Memphis IAP,N/A,Tennessee,Active,1.97503922,0.18570996
AF Guard,Springfield Beckley,N/A,Ohio,Active,2.73583697,0.20672733
AF Guard,Birmingham Airport,N/A,Alabama,Active,4.14696304,0.21035001
Army Guard,NG Camp Navajo,N/A,Arizona,Active,29.45875719,44.22871071
Army Guard,NG HMO3 (Snake Creek TS),N/A,Florida,Active,2.99821052,0.49819885
Army Guard,NG CTC Fort Custer Trng Center,N/A,Michigan,Active,17.68327225,11.7231836
Army Guard,NG West Camp,N/A,South Dakota,Active,5.04249235,1.19445672
Navy Active,Naval Hospital,Joint Region Marianas,Guam,Active,2.30391754,0.18812341
AF Active,Brooks AFB,N/A,Texas,Active,5.92450829,2.04262546
AF Active,Dover AFB,N/A,Delaware,Active,14.01473535,4.26336397
Army Active,Fort A P Hill,N/A,Virginia,Active,56.23083171,116.5807958
Army Active,Tobyhanna Army Depot,N/A,Pennsylvania,Active,7.00588776,2.27905895
MC Active,MCAS Yuma,N/A,Arizona,Active,14.75257572,7.42796297
Navy Active,NNSY St Helena,N/A,Virginia,Active,0.59946344,0.01914829
Navy Active,Cheatham Annex,N/A,Virginia,Active,18.5978649,3.58828419
Navy Active,JEBLCFS Wallops Island VA,Joint Expeditionary Base Little Creek - Fort Story,Virginia,Active,37.07550981,10.10759615
Navy Active,GL Camp JPJ,N/A,Illinois,Active,2.36192457,0.07713146
Navy Active,NAS Pensacola FL,N/A,Florida,Active,25.50381109,8.50791146
Navy Active,Corry Station,N/A,Florida,Active,4.38100437,0.91986194
AF Active,Clear Air Force Station,N/A,Alaska,Active,19.99637984,17.9384353
AF Guard,Joe Foss Field,N/A,South Dakota,Active,1.98740466,0.14433221
AF Guard,Des Moines IAP,N/A,Iowa,Active,2.6823807,0.25286069
AF Guard,EWVRA Shepherd Field,N/A,West Virginia,Active,4.96366638,0.4879501
Army Guard,NG Camp Hartell,N/A,Connecticut,Active,1.44216235,0.09039005
Army Guard,NG Martindale - AASF,N/A,Texas,Active,2.37904298,0.32936286
Army Guard,NG Marseilles (MTA Tng Area),N/A,Illinois,Active,10.69083675,4.46138328
Army Guard,NG Hollis Plains Training Site,N/A,Maine,Active,3.48767224,0.64282798
Army Guard,NG Thunderbird Youth Academy,N/A,Oklahoma,Active,5.65304877,0.8262293
Army Guard,NG Fort McClellan ARNG Tng Center,N/A,Alabama,Active,5.8097707,0.79923366
Army Guard,NG CTA Camp Mccain,N/A,Mississippi,Active,27.8469078,20.27045612
Army Guard,NG Camp Smith Tng Site,N/A,New York,Active,8.30072676,2.48001696
Navy Active,Harmon,Joint Region Marianas,Guam,Active,0.29969464,0.00540163
Navy Active,NAVBASE Point Loma,N/A,California,Active,11.58325743,1.79191532
Navy Active,NSA Andersen,Joint Region Marianas,Guam,Active,27.02002561,24.08388864
Navy Active,Dania Beach (Lauderdale),N/A,Florida,Active,0.62034361,0.01514858
Army Active,Yakima Training Center,Joint Base Lewis - McChord,Washington,Active,119.3062295,511.1210634
Army Active,Shell Basefield AL,N/A,Alabama,Active,2.35801524,0.38200326
Army Active,Fort George G Meade,N/A,Maryland,Active,21.749239,7.30130972
Army Active,Scranton AAP,N/A,Pennsylvania,Active,0.61595369,0.02303403
Army Active,Watervliet Arsenal,N/A,New York,Active,2.72594444,0.20726435
MC Active,MCLB Albany,N/A,Georgia,Active,17.12342374,5.28920874
MC Active,MCAS Cherry Point,N/A,North Carolina,Active,53.86377756,17.75227136
MC Active,Former NTC,N/A,California,Active,1.7148091,0.11175495
Navy Active,NSA Saratoga Springs NY,N/A,New York,Active,0.83752619,0.03516218
AF Active,Elmendorf AFB,Joint Base Elmendorf - Richardson,Alaska,Active,19.79301824,17.07431075
AF Guard,Fresno Yosemite International ANG,N/A,California,Active,1.76514843,0.12051507
AF Active,St Louis Air Force Station,N/A,Missouri,Active,1.21329635,0.04871351
Army Guard,NG Rickenbacker (MTA),N/A,Ohio,Active,1.79870376,0.1939832
Army Guard,NG Camp Withycombe Clackamas,N/A,Oregon,Active,2.04114855,0.12609311
Army Guard,NG TS AFRC Los Alamitos,N/A,California,Active,6.71506292,2.06314156
Army Guard,NG MTA Limestone Hills,N/A,Montana,Active,29.45076375,33.30838897
Army Guard,NG MTC-H Camp Grayling,N/A,Michigan,Active,283.5816979,228.7922057
Army Guard,NG Kansas,N/A,Kansas,Active,1.5430536,0.088286
Navy Active,Waipahu,Joint Base Pearl Harbor - Hickam,Hawaii,Active,12.9657659,2.39339867
Navy Active,Dredgers Key-Sigsbee,N/A,Florida,Active,4.61936781,0.56045205
Navy Active,NAVBASE San Diego CA,N/A,California,Active,7.43617433,1.11234671
Navy Active,Finegayan,Joint Region Marianas,Guam,Active,10.0677551,3.76695892
MC Active,Bridgeport,N/A,California,Active,64.03226584,96.71498927
AF Active,Haarp Research Station,Joint Base Elmendorf - Richardson,Alaska,Active,13.17772301,8.47427815
Army Active,Fort Lee,N/A,Virginia,Active,23.18682471,8.85401196
Army Active,Us Army Joint Sys Mfg CtrLima,N/A,Ohio,Active,4.16320377,0.90958295
Army Reserve,Grand Prairie Reserve Complex,N/A,Texas,Active,1.48183545,0.11659727
Army Active,Kipapa Ammo Storage Site,N/A,Hawaii,Inactive,7.36203995,0.63257837
Navy Active,NAVSTA Norfolk VA,N/A,Virginia,Active,19.53021724,6.3444268
Navy Active,Webster Field,N/A,Maryland,Active,9.33448735,1.51343387
AF Active,Point Arena Air Force Station,N/A,California,Inactive,2.80732403,0.12517774
AF Reserve,Dobbins ARB,N/A,Georgia,Active,10.89297169,3.78261368
AF Active,Columbus AFB,N/A,Mississippi,Active,11.96089694,6.8601769
AF Guard,Bangor IAP,N/A,Maine,Active,4.81304066,0.42377862
AF Guard,McGhee Tyson Airport,N/A,Tennessee,Active,4.81290706,0.56671413
AF Guard,Gen Mitchell IAP,N/A,Wisconsin,Active,1.59741204,0.10270726
AF Guard,W K Kellogg,N/A,Michigan,Active,3.00675032,0.21872001
